venue,tau_bin,gap_bin,n,b_mean,b_std,spread_med
polymarket,60,-7.5,146,0.35376027397260273,0.22136997599726083,0.010000000000000009
polymarket,60,-5,463,0.30394600431965446,0.30608118511818166,0.010000000000000009
polymarket,60,-2.5,811,0.17994512946979038,0.2242560782948247,0.01
polymarket,60,0,1065,0.38981220657276994,0.285904714990619,0.010000000000000009
polymarket,60,2.5,1185,0.6639789029535864,0.2730694899564565,0.010000000000000009
polymarket,60,5,815,0.7070748466257668,0.30570688803747537,0.010000000000000009
polymarket,60,7.5,365,0.7319589041095891,0.2280641440494174,0.010000000000000009
polymarket,60,10,169,0.7094674556213018,0.21349071674651335,0.010000000000000009
polymarket,60,12.5,68,0.5820588235294117,0.17672863778550613,0.010000000000000009
polymarket,60,15,30,0.6166666666666667,0.20587631595514905,0.010000000000000009
polymarket,60,17.5,1,0.505,,0.010000000000000009
polymarket,60,25,7,0.505,0.0,0.010000000000000009
polymarket,60,27.5,7,0.505,0.0,0.010000000000000009
polymarket,60,30,22,0.5722499999999999,0.17322492603548714,0.010000000000000009
polymarket,90,-27.5,36,0.009819444444444443,0.00622799300139273,0.01
polymarket,90,-25,5,0.015,0.0,0.01
polymarket,90,-22.5,1,0.505,,0.010000000000000009
polymarket,90,-20,38,0.4921052631578947,0.07948849635407365,0.010000000000000009
polymarket,90,-15,49,0.505,0.0,0.010000000000000009
polymarket,90,-12.5,46,0.1356521739130435,0.1971170230420165,0.010000000000000002
polymarket,90,-10,422,0.13247630331753554,0.1975784955592137,0.01
polymarket,90,-7.5,460,0.21030434782608695,0.2260760152845445,0.010000000000000002
polymarket,90,-5,965,0.2298963730569948,0.26898570362082785,0.010000000000000002
polymarket,90,-2.5,1577,0.22832530120481928,0.20659632071701647,0.010000000000000009
polymarket,90,0,1614,0.36357496902106573,0.21452563397171492,0.010000000000000009
polymarket,90,2.5,1459,0.5900479780671692,0.22080628631873334,0.010000000000000009
polymarket,90,5,1352,0.76210724852071,0.20885015461539697,0.010000000000000009
polymarket,90,7.5,914,0.7790459518599563,0.21580040413538745,0.010000000000000009
polymarket,90,10,286,0.890576923076923,0.14772342350335624,0.010000000000000009
polymarket,90,12.5,318,0.8128349056603773,0.21903976766505384,0.010000000000000009
polymarket,90,15,111,0.8741621621621621,0.18803301405195946,0.010000000000000009
polymarket,90,17.5,44,0.9340909090909091,0.13756720441074205,0.010000000000000009
polymarket,90,20,42,0.7757142857142857,0.2374806062134888,0.010000000000000009
polymarket,90,22.5,20,0.505,0.0,0.010000000000000009
polymarket,90,30,28,0.9966071428571428,0.0004783680370133301,0.0050000000000000044
polymarket,120,-27.5,87,0.015522988505747126,0.01566471149794403,0.009999999999999998
polymarket,120,-25,20,0.0038,0.0038368023967333717,0.001
polymarket,120,-22.5,11,0.028636363636363637,0.008090398349558907,0.010000000000000002
polymarket,120,-20,72,0.12680555555555556,0.2036451372867324,0.01
polymarket,120,-17.5,63,0.38865079365079364,0.2098102182949459,0.010000000000000009
polymarket,120,-15,104,0.11134615384615384,0.19310471877260785,0.01
polymarket,120,-12.5,146,0.06840753424657535,0.12821794488728755,0.009999999999999998
polymarket,120,-10,612,0.11982679738562092,0.172677803431448,0.01
polymarket,120,-7.5,686,0.15145772594752188,0.1742221179571585,0.010000000000000002
polymarket,120,-5,1463,0.23483937115516063,0.21569105567794744,0.010000000000000009
