venue,side,tau_s,ask,ask_sz,payoff
binance,DOWN,1.5,0.95,,1.0
binance_eth,DOWN,1.5,0.88,,0.0
okx,DOWN,1.5,0.02,,0.0
okx,DOWN,1.5,0.9,,1.0
binance,UP,1.5,0.11,10.0,0.0
binance,DOWN,1.5,0.9,,1.0
okx,UP,1.499,0.9,52.4,0.0
okx,DOWN,1.499,0.72,,1.0
binance,UP,1.499,0.98,34.80001805100051,1.0
binance,DOWN,1.499,0.03,,0.0
okx,UP,1.5,0.9,50.1,1.0
okx,DOWN,1.5,0.68,,0.0
binance,UP,1.5,0.98,94.27589795918368,1.0
binance,DOWN,1.5,0.05,,0.0
okx,DOWN,1.5,0.9,,1.0
binance,UP,1.5,0.99,748.2242960495976,1.0
binance,DOWN,1.5,0.02,,0.0
binance,UP,1.5,0.12,10.65,0.0
binance,DOWN,1.5,0.92,,1.0
binance,UP,1.5,0.99,532.9332505050505,1.0
binance,DOWN,1.5,0.03,,0.0
binance,UP,1.5,0.98,519.2253694951665,1.0
binance,DOWN,1.5,0.05,,0.0
okx,UP,1.5,0.05,200.0,0.0
okx,UP,1.5,0.15,200.0,0.0
binance,UP,1.5,0.1,75.46,0.0
binance,DOWN,1.5,0.95,,1.0
okx,UP,1.5,0.07,19.0,0.0
okx,UP,1.499,0.04,84.5,0.0
binance,UP,1.499,0.02,85.0,0.0
binance,DOWN,1.499,0.99,,1.0
okx,DOWN,1.5,0.06,,0.0
okx,DOWN,1.5,0.33,,0.0
okx,UP,1.5,0.03,38.3,0.0
okx,DOWN,1.499,0.05,,0.0
okx,UP,1.5,0.07,7.9,0.0
okx,UP,1.5,0.25,10.0,0.0
binance_eth,DOWN,1.5,0.95,,1.0
okx,UP,1.5,0.18,125.4,0.0
okx,DOWN,1.5,0.11,,0.0
okx,UP,1.5,0.07,29.0,0.0
okx,DOWN,1.5,0.08,,0.0
okx,DOWN,1.496,0.33,,0.0
okx,UP,1.5,0.05,17.9,0.0
okx,DOWN,1.499,0.33,,0.0
binance,DOWN,1.499,0.02,,0.0
binance_eth,UP,1.499,0.95,6.247368421052632,1.0
binance_eth,DOWN,1.499,0.06,,0.0
