ts_ms,window_start_ms,tau_s,direction,best_ev,ev_a,ev_b,raw_edge_a,raw_edge_b,p_band,pm_is_low_target,up_ask,down_ask,up_ask_okx,down_ask_okx,target_px,target_px_okx,gap_bps,gap_bps_okx,book_age_ms,book_age_ms_okx
1787841630000,1787841600000,270.0,pmUP+okxDOWN,0.02832380000000001,0.02832380000000001,-0.1916081999999999,0.02832380000000001,-0.1916081999999999,0.0,true,0.37,0.64,0.53,0.58,80201.18411699349,80206.3,-1.0714016370908088,-1.246784853558885,16,86
1787841630501,1787841600000,269.499,pmUP+okxDOWN,0.02832380000000001,0.02832380000000001,-0.1916081999999999,0.02832380000000001,-0.1916081999999999,0.0,true,0.37,0.64,0.53,0.58,80201.18411699349,80206.3,-1.0867740410930067,-1.246784853558885,8,86
1787841631500,1787841600000,268.5,pmUP+okxDOWN,0.02832380000000001,0.02832380000000001,-0.1916081999999999,0.02832380000000001,-0.1916081999999999,0.0,true,0.37,0.64,0.53,0.58,80201.18411699349,80206.3,-1.0867740410930067,-1.246784853558885,7,284
1787841632000,1787841600000,268.0,pmUP+okxDOWN,0.02832380000000001,0.02832380000000001,-0.1916081999999999,0.02832380000000001,-0.1916081999999999,0.0,true,0.37,0.64,0.53,0.58,80201.18411699349,80206.3,-1.0867740410930067,-1.246784853558885,4,82
1787841633000,1787841600000,267.0,pmUP+okxDOWN,0.03790199999999988,0.03790199999999988,-0.1719721999999999,0.03790199999999988,-0.1719721999999999,0.0,true,0.39,0.62,0.53,0.55,80201.18411699349,80206.3,-1.121973348251409,-0.42390685021110946,4,85
1787841633501,1787841600000,266.499,pmUP+okxDOWN,0.018148800000000076,0.018148800000000076,-0.1817972000000001,0.018148800000000076,-0.1817972000000001,0.0,true,0.38,0.63,0.53,0.58,80201.18411699349,80206.3,-1.121973348251409,-0.2867605163189064,3,83
1787841634001,1787841600000,265.999,pmUP+okxDOWN,0.018148800000000076,0.018148800000000076,-0.1817972000000001,0.018148800000000076,-0.1817972000000001,0.0,true,0.38,0.63,0.53,0.58,80201.18411699349,80206.3,-0.891598046099793,-0.2867605163189064,3,83
1787841639500,1787841600000,260.5,pmUP+okxDOWN,0.0020968000000000098,0.0020968000000000098,-0.2085458,0.0020968000000000098,-0.2085458,0.0,true,0.26,0.75,0.44,0.72,80201.18411699349,80206.3,-3.0644885239543838,-5.660403235158427,0,82
1787841640000,1787841600000,260.0,pmUP+okxDOWN,0.0020968000000000098,0.0020968000000000098,-0.2085458,0.0020968000000000098,-0.2085458,0.0,true,0.26,0.75,0.44,0.72,80201.18411699349,80206.3,-4.590840436858402,-5.660403235158427,0,82
1787841640501,1787841600000,259.499,pmUP+okxDOWN,0.002538799999999952,0.002538799999999952,-0.19812719999999984,0.002538799999999952,-0.19812719999999984,0.0,true,0.25,0.76,0.42,0.73,80201.18411699349,80206.3,-4.590840436858402,-6.233924267794425,4,82
