tau_bucket,n,b_diff_mean,b_diff_std,abs_p90
0.0,13,0.48384615384615387,0.004634043479981516,0.49
30.0,221,0.006900452488687778,0.23017776539364632,0.38
60.0,483,-0.019075569358178054,0.10435039114539005,0.17500000000000004
90.0,619,0.0039741518578352165,0.093702807638146,0.15500000000000008
120.0,735,0.013306122448979588,0.09916590921793847,0.17499999999999993
150.0,898,0.004388641425389753,0.09481343450417647,0.14999999999999997
180.0,893,0.0037665173572228447,0.10521492027941994,0.19500000000000006
210.0,907,0.005422271223814773,0.10705367209368916,0.21499999999999997
240.0,893,0.001412653975363943,0.10283562947477483,0.18999999999999995
270.0,790,0.00965189873417721,0.11628643055727288,0.18500000000000005
